paperId,questionId,assetType,path,assemblySha256,repairedManifestSha256,repairedCurrentSha256,originalCurrentSha256,repairedManifestHashMatchesCurrent,assemblyBounds,repairedManifestBounds,repairedManifestPage,sourcePdf
0625-2021-m-12,0625-2021-m-12-q40,question,0625-2021-m-12/question/q40-16-1.webp,e95c2c4a4bc281839f5480ef9923bcad69ea978f9a41554e7e46d9457ddc51ed,d8ccff7eb5057d75f2f17c873e7a4f4cff215e1c744da751c9ae399df2f27d77,d8ccff7eb5057d75f2f17c873e7a4f4cff215e1c744da751c9ae399df2f27d77,aa8b6bb6313a9c36bc22e98e36864d6903e560b5d44b8c975ce82b5905664f9e,True,"[0.0,383.362,595.0,790.0]","[0.0,383.362,595.0,769.306]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2021-m-12-question.pdf"",""sha256"":""6de30a1609520491acd971eb95a6884ce2470a0c2adc367e49d32378997a0aa4"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_m21_qp_12.pdf""}"
0625-2021-m-22,0625-2021-m-22-q40,question,0625-2021-m-22/question/q40-16-1.webp,c0bc7e72be3ac17243888405ea9dfba8ff55c5a3bdd06baeee03a2ddcf7c9448,4e0e90e478a3523c5f6bbda54062d72e4df8afc7410da8994e725c775adddbaf,4e0e90e478a3523c5f6bbda54062d72e4df8afc7410da8994e725c775adddbaf,78f4bb7cf65461235cfe2c68de5deb5788a17d09250a832ff420839f87ccfd3d,True,"[0.0,56.603,595.0,790.0]","[0.0,56.603,595.0,769.306]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2021-m-22-question.pdf"",""sha256"":""40df12f312d7bd9cb986e8f21fb225c6b842eb0b4bc6a7d300205828a583ecbd"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_m21_qp_22.pdf""}"
0625-2021-s-11,0625-2021-s-11-q40,question,0625-2021-s-11/question/q40-16-1.webp,5ed6287d13c41915f47817bb587ad067207c06617b547bef1abaaf9aa1b1f6ae,3b32f06e3fdde73f846dea80f3fc3552ebd8e729399eb9821031f45b2b8efd5d,3b32f06e3fdde73f846dea80f3fc3552ebd8e729399eb9821031f45b2b8efd5d,53feab77a5ec96b9f571eb55970f6bf06ae407479a76e0d69dba89476307e0fa,True,"[0.0,350.482,595.0,790.0]","[0.0,350.482,595.0,769.606]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2021-s-11-question.pdf"",""sha256"":""da9f6396743bbc24ef1117038cd075417cd567744c3e3bfc2b50cfd8690ad596"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_s21_qp_11.pdf""}"
0625-2021-s-12,0625-2021-s-12-q40,question,0625-2021-s-12/question/q40-20-1.webp,6d2893db99889745c56bb3ccfbc30cca69ee81a4584ccd025abf56be22f02837,1d2c58e87da7e4979475ad88fa2d1a11df2ba85e5fe602e2f0abe06d511c4744,1d2c58e87da7e4979475ad88fa2d1a11df2ba85e5fe602e2f0abe06d511c4744,a1caa228453036f021f5ca4e8f9583f210e4a8c62857a954f6c0fe5bd2908c1c,True,"[0.0,238.162,595.0,790.0]","[0.0,238.162,595.0,769.606]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2021-s-12-question.pdf"",""sha256"":""007644bc2b9677c2636aaee9efeb4debda93d4c09efc55f22320425bbd52e663"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_s21_qp_12.pdf""}"
0625-2021-s-13,0625-2021-s-13-q40,question,0625-2021-s-13/question/q40-20-3.webp,bcb112c341bd31c60d887d4302f001bc49940c4ce96aa46a4e34ecd40e96a010,6c592312cd46e4f72eb14b2fbbaee5ddd2cb30cca59dc8cedde4d0e90a6c7f63,6c592312cd46e4f72eb14b2fbbaee5ddd2cb30cca59dc8cedde4d0e90a6c7f63,fbc3a1bd195dabfa19814ad884878a5bbf37cd24cc25b2f8ab3955fa8a7d0746,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.606]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2021-s-13-question.pdf"",""sha256"":""c8dbd90f052aff69c887c42ab1a712df262f7dd597d078810f78d327f89299b0"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_s21_qp_13.pdf""}"
0625-2021-s-21,0625-2021-s-21-q40,question,0625-2021-s-21/question/q40-16-1.webp,140a4258e4e6145622871f2da102d845923b5043841826e71c3d6144a19c79aa,46576770d6ea165516bdc0afdd42484eec93a5ec5079e4af9369738a5253a5c9,46576770d6ea165516bdc0afdd42484eec93a5ec5079e4af9369738a5253a5c9,aa1bcf5b3a6481d976af9a748c3213e9d764b5c5801bd54d5969c538189a1c57,True,"[0.0,166.223,595.0,790.0]","[0.0,166.223,595.0,769.606]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2021-s-21-question.pdf"",""sha256"":""ba10b9ab9ba373df1f718b832ba3a990e0998d5c0c4f8f03237cb73641ac83ba"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_s21_qp_21.pdf""}"
0625-2021-s-22,0625-2021-s-22-q40,question,0625-2021-s-22/question/q40-16-1.webp,648ade5b06ff4328f64b191ce3236f5531893cc2032c1b56249c7cbef59fb037,af557f9be4f46f8b435bbb26ae83f67579579110a25df676a625d16c75351733,af557f9be4f46f8b435bbb26ae83f67579579110a25df676a625d16c75351733,51a72fb15ee920a811ff74531e9f80847b3973f88d56bd4fa0e993005a28607a,True,"[0.0,374.902,595.0,790.0]","[0.0,374.902,595.0,769.606]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2021-s-22-question.pdf"",""sha256"":""a43981f9318bdcb7e01bc86f862e0a72d257081c76262e51226ea5a9f4c26915"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_s21_qp_22.pdf""}"
0625-2021-s-23,0625-2021-s-23-q40,question,0625-2021-s-23/question/q40-20-3.webp,bcb112c341bd31c60d887d4302f001bc49940c4ce96aa46a4e34ecd40e96a010,6c592312cd46e4f72eb14b2fbbaee5ddd2cb30cca59dc8cedde4d0e90a6c7f63,6c592312cd46e4f72eb14b2fbbaee5ddd2cb30cca59dc8cedde4d0e90a6c7f63,108c3c6ccb839d20b6b17e4c91addf7545270e0d38f3479c4462fa068347da50,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.606]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2021-s-23-question.pdf"",""sha256"":""e8eeb388a0986b7cf5c27f547cfd38d6b47793f11ca1df2176fbc40d509936ac"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_s21_qp_23.pdf""}"
0625-2021-w-11,0625-2021-w-11-q40,question,0625-2021-w-11/question/q40-20-4.webp,4d4edee29f0ff031c717b6ec8e6be8b207e28866c9e3b19717d35352bc18cad8,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,9452ac771039612a0d3441b89a192758f734b501655d6dda7390b909ea21415c,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",20,"{""copyright_notice"":""© UCLES observed"",""pages"":20,""path"":""data/raw/0625-2021-w-11-question.pdf"",""sha256"":""06c867bb16f60e885688461a94e1bb4fce9ac9dafd2520b246860ddca168b30f"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_w21_qp_11.pdf""}"
0625-2021-w-12,0625-2021-w-12-q40,question,0625-2021-w-12/question/q40-16-2.webp,4d4edee29f0ff031c717b6ec8e6be8b207e28866c9e3b19717d35352bc18cad8,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,9d2211dbb2dcc8ca6b1205692bb36bca7eefba75c464937a01f180e588c2f356,f7d51e1e41d29e30e183b10804e574e67bb265e70bb763b40015079ba65217ea,True,"[0.0,48.0,595.0,790.0]","[0.0,48.0,595.0,769.306]",16,"{""copyright_notice"":""© UCLES observed"",""pages"":16,""path"":""data/raw/0625-2021-w-12-question.pdf"",""sha256"":""55e76bce53131f5a5afff6a0985dbb7f67fbaf4996483df75741a2c9a73e9aa6"",""source_url"":""https://bestexamhelp.com/exam/cambridge-igcse/physics-0625/2021/0625_w21_qp_12.pdf""}"
